case_id,category,config,status,D1,D2,D3,D4,D5,D6,D7,total,gate,generation_calls
ORDER-ONLY-001,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-001,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-002,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-002,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-003,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-003,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-004,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-004,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-005,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-005,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-006,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-006,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-007,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-007,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-008,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-008,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-009,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-009,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-010,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-010,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-011,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-011,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-012,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-012,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-013,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-013,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ORDER-ONLY-014,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-014,order_only,A3,ok,4,4,4,4,4,4,4,100.0,False,0
ORDER-ONLY-015,order_only,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ORDER-ONLY-015,order_only,A3,ok,4,4,4,4,4,4,3,98.5,False,0
ROUTINE-LOW-RISK-001,routine_low_risk,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ROUTINE-LOW-RISK-001,routine_low_risk,A3,ok,4,0,1,4,4,2,3,69.0,False,0
ROUTINE-LOW-RISK-002,routine_low_risk,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ROUTINE-LOW-RISK-002,routine_low_risk,A3,ok,4,0,1,4,4,2,3,69.0,False,0
ROUTINE-LOW-RISK-003,routine_low_risk,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ROUTINE-LOW-RISK-003,routine_low_risk,A3,ok,4,2,1,4,4,2,3,78.0,False,0
ROUTINE-LOW-RISK-004,routine_low_risk,A0,ok,4,4,2,4,4,4,4,95.0,False,1
ROUTINE-LOW-RISK-004,routine_low_risk,A3,ok,4,2,1,4,4,2,3,78.0,False,0
ROUTINE-LOW-RISK-005,routine_low_risk,A0,ok,4,4,2,4,4,4,4,95.0,False,1
ROUTINE-LOW-RISK-005,routine_low_risk,A3,ok,4,2,2,4,4,2,3,80.5,False,0
ROUTINE-LOW-RISK-006,routine_low_risk,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ROUTINE-LOW-RISK-006,routine_low_risk,A3,ok,4,0,1,4,4,2,3,69.0,False,0
ROUTINE-LOW-RISK-007,routine_low_risk,A0,ok,4,4,4,4,4,4,4,100.0,False,1
ROUTINE-LOW-RISK-007,routine_low_risk,A3,ok,4,2,1,4,4,2,3,78.0,False,0
ROUTINE-LOW-RISK-008,routine_low_risk,A0,ok,4,4,2,4,4,4,4,95.0,False,1
ROUTINE-LOW-RISK-008,routine_low_risk,A3,ok,4,0,0,4,4,1,2,63.0,False,0
ROUTINE-LOW-RISK-009,routine_low_risk,A0,ok,4,4,3,4,4,4,4,97.5,False,1
ROUTINE-LOW-RISK-009,routine_low_risk,A3,ok,4,0,0,4,4,2,2,65.0,False,0
